Loss,Hidden_dim,Hidden_layers,Activation
0.019403789919820683,2,2,sigmoid
0.5412427072016535,2,2,relu
0.00398954472399117,2,3,sigmoid
0.5852897260285784,2,3,relu
0.6931485973170205,2,5,sigmoid
0.6931471805599453,2,5,relu
0.6931471805757317,2,10,sigmoid
0.6931471805599453,2,10,relu
0.0015964587806946103,3,2,sigmoid
0.6931471806166725,3,2,relu
0.6931241500851291,3,3,sigmoid
0.48503475842434607,3,3,relu
0.6931470122044316,3,5,sigmoid
0.6931471805599453,3,5,relu
0.693147180561093,3,10,sigmoid
0.6931471805599453,3,10,relu
0.0005096519365634057,6,2,sigmoid
0.0025624296862652926,6,2,relu
0.0016684794275215278,6,3,sigmoid
0.0014145467928424371,6,3,relu
0.6929423330174818,6,5,sigmoid
0.6931471805599453,6,5,relu
0.6931471756724391,6,10,sigmoid
0.6931471805599453,6,10,relu
0.0005593338620103696,11,2,sigmoid
0.0022964598731860875,11,2,relu
0.0008627666118161544,11,3,sigmoid
0.0001197664233361106,11,3,relu
0.010282283681659548,11,5,sigmoid
,11,5,relu
0.693147267972772,11,10,sigmoid
0.6931471805599453,11,10,relu
